Code1,Level1,Code2,Level2,Code3,Level3,Code4,Level4,Code5,Level5,Level6,Level7
10,Crop management,10,Selecting and preparing the planting material,10,Selecting the planting material,TT,Selecting a different type of planting material,10,"Planting a different variety/cultivar (e.g., a disease-resistant variety)",,
10,Crop management,10,Selecting and preparing the planting material,10,Selecting the planting material,TT,Selecting a different type of planting material,20,"Planting a different size of planting material (e.g., longer cuttings)",,
10,Crop management,10,Selecting and preparing the planting material,10,Selecting the planting material,TT,Selecting a different type of planting material,30,"Planting a different provenance of planting material (e.g., cuttings from a different part of the mother plant)",,
10,Crop management,10,Selecting and preparing the planting material,10,Selecting the planting material,TT,Selecting a different type of planting material,40,Planting seeds vs cuttings (i.e. sexual vs asexual propagules),,
10,Crop management,10,Selecting and preparing the planting material,10,Selecting the planting material,TT,Selecting a different type of planting material,NEC,"Planting a different type of planting material, n.e.c.",,
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),10,Cutting or trimming before planting,,
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),20,Grafting,,
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),30,Inoculating with beneficial microorganisms (biofertilizers) before planting,Inoculating with bacteria (including rhizobacteria) before planting,
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),30,Inoculating with beneficial microorganisms (biofertilizers) before planting,Inoculating with fungi (including mycorrhizae) before planting,
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),40,"Quarantining before planting (e.g., planting healthy cuttings only)",,
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),50,Treating with heat or cold before planting,"Storing planting materials at lower temperatures (e.g., storing cuttings in the shade)",
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),60,Treating with light or darkness before planting,,
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),70,Treating with chemicals or water before planting,"Treating with water before planting (e.g., soaking seeds or cuttings)",
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),70,Treating with chemicals or water before planting,"Treating with hormones before planting (e.g., rooting hormone)",
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),70,Treating with chemicals or water before planting,Treating with fungicide before planting,
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),70,Treating with chemicals or water before planting,Treating with herbicide before planting,
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),70,Treating with chemicals or water before planting,Treating with pesticide before planting,
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TC,Preparing the planting material (vs control),NEC,"Preparing the planting material (vs control), n.e.c.",,
10,Crop management,10,Selecting and preparing the planting material,20,Preparing the planting material,TT,Preparing the planting material using a different method/tool,NEC,"Preparing the planting material using a different method/tool, n.e.c.",,
10,Crop management,20,Planting (including intercropping),10,Planting crops,TC,"Planting crops (vs control; i.e. vs fallowing; also see ""using crop rotations"")",NEC,"Planting crops (vs control), n.e.c.",,
10,Crop management,20,Planting (including intercropping),10,Planting crops,TT,Planting crops using a different method/tool,10,Planting in a different location,"Planting in a different agro-climatic zone (e.g., climate type or soil type)",
10,Crop management,20,Planting (including intercropping),10,Planting crops,TT,Planting crops using a different method/tool,10,Planting in a different location,Planting crops in their native ranges,
10,Crop management,20,Planting (including intercropping),10,Planting crops,TT,Planting crops using a different method/tool,20,Planting at a different time or in a different season,,
10,Crop management,20,Planting (including intercropping),10,Planting crops,TT,Planting crops using a different method/tool,30,"Planting in a different substrate (e.g., planting in mound, ridges, or raised beds; also see ""landscaping"" and ""tilling"")",,
10,Crop management,20,Planting (including intercropping),10,Planting crops,TT,Planting crops using a different method/tool,40,Planting at a different density or spacing (including planting in rows vs broadcasting),,
10,Crop management,20,Planting (including intercropping),10,Planting crops,TT,Planting crops using a different method/tool,50,Planting at a different depth,"Planting below the surface of the soil (e.g., using dibbing sticks or seed drills vs broadcasting)",
10,Crop management,20,Planting (including intercropping),10,Planting crops,TT,Planting crops using a different method/tool,60,"Planting in a different orientation (e.g., planting cuttings horizontally vs vertically)",,
10,Crop management,20,Planting (including intercropping),10,Planting crops,TT,Planting crops using a different method/tool,NEC,"Planting using a different method/tool, n.e.c.",,
10,Crop management,20,Planting (including intercropping),20,"Intercropping/polyculture (e.g., agroforestry or companion planting)",TC,Planting crops with other plants (vs control; i.e. polyculture vs monoculture),10,"Intercropping with non-woody plants (including ground cover during the growing season; e.g., push-pull with companion plants)",,
10,Crop management,20,Planting (including intercropping),20,"Intercropping/polyculture (e.g., agroforestry or companion planting)",TC,Planting crops with other plants (vs control; i.e. polyculture vs monoculture),20,"Intercropping with woody plants (agroforestry, including alley cropping and shade cropping)",,
10,Crop management,20,Planting (including intercropping),20,"Intercropping/polyculture (e.g., agroforestry or companion planting)",TC,Planting crops with other plants (vs control; i.e. polyculture vs monoculture),NEC,"Planting crops with other plants, n.e.c.",,
10,Crop management,20,Planting (including intercropping),20,"Intercropping/polyculture (e.g., agroforestry or companion planting)",TT,Planting crops with other plants using a different method/tool,NEC,"Planting crops with other plants using a different method/tool, n.e.c.",,
10,Crop management,30,"Growing and fruiting (also see ""pathogen, pest, and weed management"" and ""fertilizing and irrigating"")",10,Thinning/pruning crops,TC,Thinning/pruning crops (vs control),NEC,"Thinning/pruning crops (vs control), n.e.c.",,
10,Crop management,30,"Growing and fruiting (also see ""pathogen, pest, and weed management"" and ""fertilizing and irrigating"")",10,Thinning/pruning crops,TT,Thinning/pruning crops using a different method/tool,NEC,"Thinning/pruning crops using a different method/tool, n.e.c.",,
10,Crop management,30,"Growing and fruiting (also see ""pathogen, pest, and weed management"" and ""fertilizing and irrigating"")",20,Supporting/training crops,TC,Supporting/training crops (vs control),NEC,"Supporting/training crops (vs control), n.e.c.",,
10,Crop management,30,"Growing and fruiting (also see ""pathogen, pest, and weed management"" and ""fertilizing and irrigating"")",20,Supporting/training crops,TT,Supporting/training crops using a different method/tool,NEC,"Supporting/training crops using a different method/tool, n.e.c.",,
10,Crop management,30,"Growing and fruiting (also see ""pathogen, pest, and weed management"" and ""fertilizing and irrigating"")",30,"Pollinating crops (also see ""providing resources for pollinators"")",TC,Pollinating crops (vs control),10,Pollinating crops by hand,,
10,Crop management,30,"Growing and fruiting (also see ""pathogen, pest, and weed management"" and ""fertilizing and irrigating"")",30,"Pollinating crops (also see ""providing resources for pollinators"")",TC,Pollinating crops (vs control),20,Keeping/renting honey bees,,
10,Crop management,30,"Growing and fruiting (also see ""pathogen, pest, and weed management"" and ""fertilizing and irrigating"")",30,"Pollinating crops (also see ""providing resources for pollinators"")",TC,Pollinating crops (vs control),NEC,"Pollinating crops (vs control), n.e.c.",,
10,Crop management,30,"Growing and fruiting (also see ""pathogen, pest, and weed management"" and ""fertilizing and irrigating"")",30,"Pollinating crops (also see ""providing resources for pollinators"")",TT,Pollinating crops using a different method/tool,NEC,"Pollinating crops using a different method/tool, n.e.c.",,
10,Crop management,40,Harvesting,10,Harvesting crops,TC,Harvesting crops (vs control; i.e. vs leaving crops in the field),NEC,"Harvesting crops (vs control), n.e.c.",,
10,Crop management,40,Harvesting,10,Harvesting crops,TT,Harvesting crops using a different method/tool,10,Harvesting crops at a different time,,
10,Crop management,40,Harvesting,10,Harvesting crops,TT,Harvesting crops using a different method/tool,20,"Harvesting crops using machines (e.g., vs harvesting using hand tools)","Harvesting crops using different machines (e.g., larger, wider, heavier)",
10,Crop management,40,Harvesting,10,Harvesting crops,TT,Harvesting crops using a different method/tool,NEC,"Harvesting crops using a different method/tool, n.e.c.",,
10,Crop management,50,Post-harvest management,10,"Managing crop residues (also see ""tilling the soil"")",TC,Destroying/removing crop residues (vs control; i.e. vs retaining crop residues),10,Burning crop residues,,
10,Crop management,50,Post-harvest management,10,"Managing crop residues (also see ""tilling the soil"")",TC,Destroying/removing crop residues (vs control; i.e. vs retaining crop residues),20,Desiccating crop residues using herbicide,,
10,Crop management,50,Post-harvest management,10,"Managing crop residues (also see ""tilling the soil"")",TC,Destroying/removing crop residues (vs control; i.e. vs retaining crop residues),30,Removing crop residues from the field,,
10,Crop management,50,Post-harvest management,10,"Managing crop residues (also see ""tilling the soil"")",TC,Destroying/removing crop residues (vs control; i.e. vs retaining crop residues),NEC,"Destroying/removing crop residues (vs control), n.e.c.",,
10,Crop management,50,Post-harvest management,10,"Managing crop residues (also see ""tilling the soil"")",TT,Destroying/removing crop residues using a different method/tool,NEC,"Destroying/removing crop residues using a different method/tool, n.e.c.",,
10,Crop management,50,Post-harvest management,20,Using crop rotations (including cover crops in the non-growing season),TC,Using crop rotations (vs control),10,Rotating cash/food crops with cash/food crops,,
10,Crop management,50,Post-harvest management,20,Using crop rotations (including cover crops in the non-growing season),TC,Using crop rotations (vs control),20,Rotating cash/food crops with cover crops (including catch crops and green manures; i.e. not during the growing season),,
10,Crop management,50,Post-harvest management,20,Using crop rotations (including cover crops in the non-growing season),TC,Using crop rotations (vs control),30,Rotating cash/food crops with temporary grasslands/pastures,,
10,Crop management,50,Post-harvest management,20,Using crop rotations (including cover crops in the non-growing season),TC,Using crop rotations (vs control),NEC,"Using crop rotations (vs control), n.e.c.",,
10,Crop management,50,Post-harvest management,20,Using crop rotations (including cover crops in the non-growing season),TT,Using a different method/tool/species for crop rotations,10,Using a different species for crop rotations,,
