Code1,Level1,Code2,Level2,Code3,Level3,Code4,Level4,Code5,Level5,Code6,Level6,Code7,Level7
10,Crops,10,Crop yield (including cash crops and cover crops),10,Crop yield,,"Crop biomass (including inedible components; e.g., the stems of some crops)",,,,,,
10,Crops,10,Crop yield (including cash crops and cover crops),10,Crop yield,,"Crop propagules (including cuttings and seeds not used for food, feed, fuel, etc.)",,,,,,
10,Crops,10,Crop yield (including cash crops and cover crops),10,Crop yield,,"Crop yield (including harvest index; also see ""land"" for land equivalency)",,,,,,
10,Crops,10,Crop yield (including cash crops and cover crops),NEC,"Crop yield, n.e.c.",,,,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),10,Crop appearance (including the size and shape of the edible parts),,,,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),20,Crop cooking quality,,,,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),30,Crop storage quality,,,,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),40,"Crop taste (including acidity, texture, etc.)",,,,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),50,Ash content of crops,,,,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),60,"Dry matter content of crops (i.e. proportion or percentage; also see ""Crop yield"" for dry matter yield)",,,,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),70,Fibre content of crops,,,,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),80,Toxins in crops,,"Agrochemicals in crops (e.g., pesticide residues)",,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),80,Toxins in crops,,"Heavy metals in crops (e.g., lead [Pb] or mercury [Hg])",,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),80,Toxins in crops,,"Toxins in crops, n.e.c. (e.g., cyanide)",,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),90,Chemical elements in crops,,Carbon (not including soil organic carbon),,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),90,Chemical elements in crops,,Macronutrients for plants,,Nitrogen (N),,,,
10,Crops,20,Crop quality (including cash crops and cover crops),90,Chemical elements in crops,,Macronutrients for plants,,Phosphorus (P),,,,
10,Crops,20,Crop quality (including cash crops and cover crops),90,Chemical elements in crops,,Macronutrients for plants,,Potassium (K),,,,
10,Crops,20,Crop quality (including cash crops and cover crops),100,Nutrients in crops,,Calories,,,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),100,Nutrients in crops,,Micronutrients,,"Minerals (e.g., calcium [Ca] and magnesium [Mg])",,,,
10,Crops,20,Crop quality (including cash crops and cover crops),100,Nutrients in crops,,Micronutrients,,"Vitamins and provitamins (e.g., vitamin A or beta-carotene)",,,,
10,Crops,20,Crop quality (including cash crops and cover crops),100,Nutrients in crops,,Macronutrients,,Fat,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),100,Nutrients in crops,,Macronutrients,,Protein,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),100,Nutrients in crops,,Macronutrients,,Starch,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),100,Nutrients in crops,,Macronutrients,,Sugar,,,,
10,Crops,20,Crop quality (including cash crops and cover crops),NEC,"Crop quality, n.e.c.",,,,,,,,
10,Crops,30,"Crop damage, infection, and infestation (also see ""pathogens, pests, and weeds"")",10,"Crop damage or infection by pathogens (e.g., disease severity)",,,,,,,,
10,Crops,30,"Crop damage, infection, and infestation (also see ""pathogens, pests, and weeds"")",20,Crop damage or infestation by pests,,,,,,,,
10,Crops,30,"Crop damage, infection, and infestation (also see ""pathogens, pests, and weeds"")",30,Crop damage by weeds,,,,,,,,
10,Crops,30,"Crop damage, infection, and infestation (also see ""pathogens, pests, and weeds"")",NEC,"Crop damage, n.e.c.",,,,,,,,
10,Crops,40,Crop growth and survival,10,Crop growth,,"Plant growth rate (e.g., photosynthetic rate or radiation use efficiency [RUE])",,,,,,
10,Crops,40,Crop growth and survival,10,Crop growth,,"Plant size (e.g., canopy cover, ground cover, leaf area index [LAI], or height)",,,,,,
10,Crops,40,Crop growth and survival,20,"Crop survival (e.g., germination rate)",,,,,,,,
10,Crops,40,Crop growth and survival,NEC,"Crop growth and survival, n.e.c.",,,,,,,,
20,Soil,10,Soil structure and function,10,Soil aggregation and erosion,,Soil aggregation,,,,,,
20,Soil,10,Soil structure and function,10,Soil aggregation and erosion,,Soil erosion (including soil loss through harvesting),,,,,,
20,Soil,10,Soil structure and function,20,"Soil compaction, porosity, and water content",,Soil compaction,,Soil bulk density,,,,
20,Soil,10,Soil structure and function,20,"Soil compaction, porosity, and water content",,Soil compaction,,Soil porosity/infiltration rates (including hydraulic conductivity),,,,
20,Soil,10,Soil structure and function,20,"Soil compaction, porosity, and water content",,Soil water content,,,,,,
20,Soil,10,Soil structure and function,30,Soil chemistry,,Cation exchange capacity (CEC),,,,,,
20,Soil,10,Soil structure and function,30,Soil chemistry,,Electrical conductivity (EC),,,,,,
20,Soil,10,Soil structure and function,30,Soil chemistry,,Soil pH,,,,,,
20,Soil,10,Soil structure and function,30,Soil chemistry,,Soil salinity (including sodium [Na]),,,,,,
20,Soil,10,Soil structure and function,40,Soil elements,,Soil organic matter (SOM) and soil carbon (C),,Soil inorganic carbon,,,,
20,Soil,10,Soil structure and function,40,Soil elements,,Soil organic matter (SOM) and soil carbon (C),,Soil organic carbon (SOC),,,,
20,Soil,10,Soil structure and function,40,Soil elements,,Soil organic matter (SOM) and soil carbon (C),,Soil organic matter (SOM),,,,
20,Soil,10,Soil structure and function,40,Soil elements,,Soil organic matter (SOM) and soil carbon (C),,Soil total carbon,,,,
20,Soil,10,Soil structure and function,40,Soil elements,,"Soil micronutrients and secondary nutrients (e.g., calcium [Ca] and magnesium [Mg])",,,,,,
20,Soil,10,Soil structure and function,40,Soil elements,,Soil macronutrients,,"Nitrogen (N, including ammonium [NH4+] and nitrate [NO3-] in soils)",,,,
20,Soil,10,Soil structure and function,40,Soil elements,,Soil macronutrients,,Phosphorus (P) in soils,,,,
20,Soil,10,Soil structure and function,40,Soil elements,,Soil macronutrients,,Potassium (K) in soils,,,,
20,Soil,10,Soil structure and function,40,Soil elements,,Soil mineralization (decomposition from organic to inorganic forms),,,,,,
20,Soil,10,Soil structure and function,40,Soil elements,,Soil nutrient leaching (including nitrate leaching [NO3-]),,,,,,
20,Soil,10,Soil structure and function,50,"Soil respiration (also see ""pollutants (including greenhouse gases)"")",,,,,,,,
20,Soil,10,Soil structure and function,60,Soil temperature,,,,,,,,
20,Soil,10,Soil structure and function,70,"Soil texture (i.e. sand, silt, and clay content)",,,,,,,,
20,Soil,10,Soil structure and function,NEC,"Soil structure and function, n.e.c.",,,,,,,,
20,Soil,20,"Soil organisms (also see ""biodiversity"" and ""pathogens, pest, and weeds"")",10,"Soil microbes (not including pathogens), n.e.c.",,Bacteria (including nitrogen-fixing bacteria),,,,,,
20,Soil,20,"Soil organisms (also see ""biodiversity"" and ""pathogens, pest, and weeds"")",10,"Soil microbes (not including pathogens), n.e.c.",,Fungi (including mycorrhizae),,,,,,
20,Soil,20,"Soil organisms (also see ""biodiversity"" and ""pathogens, pest, and weeds"")",10,"Soil microbes (not including pathogens), n.e.c.",,Soil enzymes,,,,,,
20,Soil,20,"Soil organisms (also see ""biodiversity"" and ""pathogens, pest, and weeds"")",10,"Soil microbes (not including pathogens), n.e.c.",,Soil microbial biomass,,,,,,
20,Soil,20,"Soil organisms (also see ""biodiversity"" and ""pathogens, pest, and weeds"")",20,Earthworms,,,,,,,,
20,Soil,20,"Soil organisms (also see ""biodiversity"" and ""pathogens, pest, and weeds"")",30,Nematodes (not including pests),,,,,,,,
20,Soil,20,"Soil organisms (also see ""biodiversity"" and ""pathogens, pest, and weeds"")",NEC,"Soil organisms, n.e.c.",,,,,,,,
30,Water,10,Water use/loss,10,Irrigation,,,,,,,,
30,Water,10,Water use/loss,20,Evapotranspiration (including water use efficiency [WUE]),,,,,,,,
30,Water,10,Water use/loss,30,Runoff,,,,,,,,
30,Water,10,Water use/loss,40,Drainage,,,,,,,,
30,Water,10,Water use/loss,NEC,"Water use/loss, n.e.c.",,,,,,,,
40,"Pathogens, pests, and weeds",10,Pathogens,10,Pathogens (bacteria),,,,,,,,
40,"Pathogens, pests, and weeds",10,Pathogens,20,Pathogens (fungi),,,,,,,,
