Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Date,Pages,Issue,Volume,Publisher,Place
2015,"Tavella, L B; Silva, P S L; Monteiro, A L; Oliveira, V R; Siqueira, P L O F",WEED CONTROL IN MAIZE WITH GLIRICIDIA INTERCROPPING,Planta Daninha,10.1590/0100-83582015000200010,,"One of the very important components in the organic maize production costs refers to spending on weed control. In this research were assessed the effects of maize hybrids (AG 1051 and BR 205) in an intercropping with Gliricidia (Gliricidia sepium) and mechanical hoeing on weed control. The treatments assessed were: A - maize monocropping + two hoeings (20 and 40 days after sowing); B - maize with one hoeing at 20 days + intercropping with gliricidia sowed after hoeing; C - maize sowing intercropped with gliricidia at the time of maize sowing + hoeing at 40 days; D - maize sowing intercropped with gliricidia at the time of maize sowing without hoeing; E - monocropping maize without hoeing. In the intercroppings, gliricidia was sowed in broadcast seeding with 30 viable seeds m(-2). Maize hybrids did not differ in their effects on weed growth and grain yield. Treatments A, B and C have reduced weed growth, compared to treatments D and E. The highest grain yield was obtained with treatment A and the lowest with treatment E. It was concluded that intercropping maize and gliricidia is not a good alternative for an integrated weed management in maize crops in the conditions assessed.",2015,249-258,2,33,,
1980,"Akobundu, I O",Weed control in cassava cultivation in the subhumid tropics,Tropical pest management,10.1080/09670878009414925,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345499407&doi=10.1080%2F09670878009414925&partnerID=40&md5=ccedfbc9f8234512c439f9bbb9435696,"Field trials were carried out over a three year period in an alfisol in a subhumid tropical environment to evaluate the effectiveness of hand-weeding frequencies and several herbicides for weed control in cassava (Manihot esculenta Crantz). Uncontrolled weed growth caused 40% reduction in root yield of short, profusely branching cassava cultivar while a 68% reduction in root yield was observed in separate studies involving a tall non-branching cultivar. Two or three properly timed hoe weedings gave crop yields that were as good as keeping the plots weed free throughout the growing season. Although pre-emergence application of fluometuron at 2.0 to 3.0 kg a.i./ha or diuron at 2.0 kg a.i./ha used singly gave good weed control and crop yield, the efficacy of these herbicides was greatly improved by tank mixing each of them with alachlor or metolachlor at 3.0 and 2.0 kg a.i./ha respectively. Excellent crop yield was also observed where atrazine and metolachlor was applied pre-emergence at 2.5 kg a.i./ha. At current labour rates in Nigeria, it is cheaper to practise chemical weed control in cassava than to rely on hand-weeding even if the labour is readily available and the weeding can be carried out on time. © 1980 Taylor & Francis Group, LLC.",1980,420-426,4,v. 26,,
,"Mason  Waterloo, Carapichaima (Trinidad and Tobago)), G F (Caroni Research Station",Weed control in cassava,Annual Seminar on Agricultural Research (Trinidad and Tobago),,,"11 preliminary experiments were conducted in commercial and semi-commercial fields at Caroni Research Station to evaluate the performance of a number of herbicides in the control of weeds of cassava (Manihot esculenta). The studies consisted of 6 pre-emergence, 2 pre-post-emergence and 3 late post-emergence trials. In the pre-emergence evaluation trials conducted at Orange Grove and La Gloria, graminaceous species were generally the dominant weeds. Metolachlor, atrazine/metolachlor, perfluidone, diuron and fluometrin were all effective. Metolachlor and atrazine/metolachlor were effective on Cyperus rotundus (nutgrass). No phytotoxicity was observed. In the pre-post treatments, perfluidone, fluometuron, metolachlor and diuron along with paraquat gave satisfactory control levels. Successful late post-emergence control was effected at Orange Grove with applications of Asulum/dalapon, DPX-F 6025/metribuzin/diuron and DPX-F 6025. Asulu/dalapon was effective against broad-leaf and grass weeds",,,,,,
2001,"Rochat, J; Gutierrez, A P",Weather-mediated regulation of olive scale by two parasitoids,Journal of Animal Ecology,10.1046/j.1365-2656.2001.00505.x,,"1. The effects of temperature and interspecific competition among two parasitoids (Aphytis maculicornis (=paramaculicornis) (Masi)-Coccophagoides utilis Doutt) of the olive scale (Parlatoria oleae (Colvee)) were examined, and the reason for the successful biological control of olive scale explained. 2. An age-structure distributed maturation time model of this system was developed that simplifies many of the details of prior physiologically based models. 3. Temperature-dependent physiological indices were used to scale fecundity and survivorship rates from their maximum values. 4. The distributed maturation time population dynamics model captured the variance in temperature-related development times required to simulate the dynamics of the system. 5. A type III ratio-dependent functional response was used to estimate parasitism rate on olive scale and also served to stabilize our single patch model. 6. The model confirms the Huffaker & Kennett (1966) conclusions concerning the role of weather and the relative contribution of the two parasitoids in the regulation of olive scale in California olive.",2001,476-490,3,70,,
2014,"Amone, Charles",WE ARE STRONG BECAUSE OF OUR MILLET BREAD: STAPLE FOODS AND THE GROWTH,Trames-Journal of the Humanities and Social Sciences,10.3176/tr.2014.2.04,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901621544&doi=10.3176%2Ftr.2014.2.04&partnerID=40&md5=f245ee5e665030ba52c5766322af5a1c,"This paper examines the phenomenon of ethnicity in Uganda with a view to underscoring the role of staple foods in ethnic identity formation and maintenance. By way of qualitative discourse, predicated on both primary and secondary sources, the paper observes that Uganda's ethnic identities emerged and are maintained by, among others, the staple foods and delicacies of the respective people in question. Although food choices are largely determined by culture, the availability of various foodstuffs is a function of diverse edaphic, topographic, vegetative and humidity conditions across the country. Millet, cooking bananas, cassava and sweet potatoes are the major traditional foodstuffs, and members of different Uganda's ethnic identities are known by the traditional foods and delicacies they consume and how they consume them.",2014,159-172,2,18,,
1988,"Witthawatchutikul, P","Watershed research at Rayong, Thailand",,,,"Rayong is a province in East Thailand. It has extensive areas of evergreen forest with rolling terrain and sandy soil. But the intrusion of local people to the forest resulted in the rapid deterioration of soil condition, incidence of erosion, flood, drought and changes in rainy season. Huag Hin Dard Watershed Research Station was established in 1975 to carry out studies on this watershed. Due to lack of financial input and manpower problem, the studies were made simple in approach. The main research areas were on water balance and land use, e.g. para rubber plantation, fruit trees and cassava field. Data on rainfall, interception, infiltration, movement of water in subsurface soil, groundwater fluctuation and streamflow characteristics were also gathered. Besides land use, other studies were carried out on the effect of road construction. The water system budget in mixed cropping area will be the target of future works.",1988,,,,,
2012,"Munisse, P; Jensen, B D; Quilambo, O A; Andersen, S B; Christiansen, J L",WATERMELON INTERCROPPED WITH CEREALS UNDER SEMI-ARID CONDITIONS: AN ON-FARM STUDY,Experimental Agriculture,10.1017/S0014479712000051,,"Intercropping is a common practice in Africa, but the advantage compared to sole cropping depends on the crop plants and local agro-ecological conditions. The potential of intercroppingmaize (Zea mays) or sorghum (Sorghum bicolor) with watermelon (Citrullus lanatus) was tested in two on-farm trials in southern Mozambique under semi-arid conditions in an area with low and unpredictable rainfall. In the first experiment, plant density, yield and monetary value of sole and intercropping plots of maize with watermelon were determined in 17 farmers' fields in an area where all crops developed to maturity and harvest. There was a significant reduction in yield of both maize (28.8%) and watermelon (57.8%) in the intercrop compared with the sole crop yields. However, the mean land equivalent ratio of 1.13 for yield showed that intercropping had advantages as, on average, an area planted with sole crops would require 13% more land than an intercrop production to generate the same outcome. In the second experiment, carried out in another area with 16 farmers' fields, drought was more pronounced and only watermelon developed to maturity. Intercroppings with maize and sorghum resulted in 70% and 69% yield reduction, respectively. In conclusion, watermelon is a good companion crop for intercropping with cereals to mitigate the risk of total crop failure due to drought.",2012,388-398,3,48,,
2000,"Kheyr-Pour, A; Bananej, K; Dafalla, G A; Caciagli, P; Noris, E; Ahoonmanesh, A; Lecoq, H; Gronenborn, B",Watermelon chlorotic stunt virus from the Sudan and Iran: Sequence comparisons and identification of a whitefly-transmission determinant,Phytopathology,10.1094/PHYTO.2000.90.6.629,,"The genomes of two Watermelon chlorotic stunt virus (WmCSV) isolates, one from the Sudan and one from Iran, were cloned and sequenced. Sequence relationship with other geminiviruses characterizes WmCSV as a typical Eastern Hemisphere geminivirus with a bipartite genome. The two geographically distant WmCSV isolates from Africa and the Middle East share a very high overall sequence similarity: 98% between their DNA-A and 96% between their DNA-B components, and their respective capsid proteins are identical. A single amino acid change in the capsid protein (N131D) renders WmCSV whitefly nontransmissible. This region of the capsid is also implicated in transmission by Bemisia tabaci of Tomato yellow leaf curl virus.",2000,629-635,6,90,,
2011,"Al-Musa, A; Anfoka, G; Al-Abdulat, A; Misbeh, S; Ahmed, F Haj; Otri, I",Watermelon chlorotic stunt virus (WmCSV): a serious disease threatening watermelon production in Jordan,Virus Genes,10.1007/s11262-011-0594-8,,"The incidence of watermelon chlorotic stunt disease and the molecular characterization of the Jordanian isolate of Watermelon chlorotic stunt virus (WmCSV-[JO]) are described in this study. Symptomatic leaf samples obtained from watermelon (Citrullus lanatus Thunb.), melon (Cucumis melo L.), squash (Cucurbita pepo), cucumber (Cucumis sativus L.), and bottle gourd (Lagenaria siceraria) plants were tested for WmCSV-[JO] infection by PCR. The virus could be detected in 8 melon and 87 watermelon samples obtained from Ghor Assafi (southern part of Jordan Valley). Three samples collected from Mafraq (eastern part of Jordan) were found mixed infected with WmCSV-[JO] and Squash leaf curl virus. The full-length DNA-A and DNA-B genomes of WmCSV-[JO] were amplified, and sequences were deposited in the GenBank under accession numbers EU561237 and EU561236, respectively. Sequence analysis reveals that WmCSV-[JO] is closely related to other virus isolates from Israel (WmCSV-[IL]), Yemen (WmCSV-[YE]), Iran (WmCSV-[IR]), Lebanon (WmCSV-[LB]), and Sudan (WmCSV-[SD]). DNA-A of WmCSV-[JO] showed highest nucleotide identity (99.42%) with WmCSV-[IL], while DNA-B had highest nucleotide identity (95.52%) with WmCSV-[YE]. Data of this study demonstrate that digestion of DNA-B genome of WmCSV isolates with ApaI enzyme can discriminate between these isolates at the molecular level. Infectious clones of WmCSV-[JO] were constructed and agroinoculated to Nicotiana benthamiana plants. Inoculated plants developed mild disease symptoms 4 weeks post inoculation, while watermelon plants biolistically inoculated with WmCSV-[JO] developed characteristic mottling, yellowing and severe leaf curling symptoms 3 weeks post inoculation.",2011,79-89,1,43,,
2001,"Pardales Jr., J R; Verutiao, M C; Sebidos, R F; Esquibel, C B; Belmonte Jr., D V; Pardales, J R; Verutiao, M C; Sebidos, R F; Esquibel, C B; Belmonte, D V",Waterlogging damage during plant establishment in cassava (Manihot esculenta Crantz),Philippine Agricultural Scientist,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035561467&partnerID=40&md5=d35b26f21088282e695b1b2ad2a8e1fb,,2001,138-140,2,84,,
