Level1,Level2,Level3,Level4
1 Cereals,1.01 Wheat,,
1 Cereals,1.02 Maize,,
1 Cereals,1.03 Rice,,
1 Cereals,1.04 Sorghum (not incl. 8.03 Sweet sorghum),,
1 Cereals,1.05 Barley,,
1 Cereals,1.06 Rye,,
1 Cereals,1.07 Oats,,
1 Cereals,1.08 Millet,,
1 Cereals,1.09 Triticale,,
1 Cereals,1.10 Buckwheat,,
1 Cereals,1.11 Fonio,,
1 Cereals,1.12 Quinoa,,
1 Cereals,1.13 Canary seed,,
1 Cereals,1.14 Mixed cereals,,
1 Cereals,"1.90 Other cereals, n.e.c.",,
2 Vegetables and melons,2.01 Leafy or stem vegetables,2.01.01 Artichokes,
2 Vegetables and melons,2.01 Leafy or stem vegetables,2.01.02 Asparagus,
2 Vegetables and melons,2.01 Leafy or stem vegetables,2.01.03 Cabbages,
2 Vegetables and melons,2.01 Leafy or stem vegetables,2.01.04 Cauliflower and broccoli,
2 Vegetables and melons,2.01 Leafy or stem vegetables,2.01.05 Lettuce,
2 Vegetables and melons,2.01 Leafy or stem vegetables,2.01.06 Spinach,
2 Vegetables and melons,2.01 Leafy or stem vegetables,2.01.07 Chicory,
2 Vegetables and melons,2.01 Leafy or stem vegetables,"2.01.90 Other leafy or stem vegetables, n.e.c.",
2 Vegetables and melons,2.02 Fruit-bearing vegetables,2.02.01 Cucumbers,
2 Vegetables and melons,2.02 Fruit-bearing vegetables,2.02.02 Eggplants (aubergines),
2 Vegetables and melons,2.02 Fruit-bearing vegetables,2.02.03 Tomatoes,
2 Vegetables and melons,2.02 Fruit-bearing vegetables,"2.02.04 Pumpkin, squash and gourds",
2 Vegetables and melons,2.02 Fruit-bearing vegetables,2.02.05 Okra,
2 Vegetables and melons,2.02 Fruit-bearing vegetables,"2.02.90 Other fruit-bearing vegetables, n.e.c.",
2 Vegetables and melons,"2.03 Root, bulb or tuberous vegetables",2.03.01 Carrots,
2 Vegetables and melons,"2.03 Root, bulb or tuberous vegetables",2.03.02 Turnips,
2 Vegetables and melons,"2.03 Root, bulb or tuberous vegetables",2.03.03 Garlic,
2 Vegetables and melons,"2.03 Root, bulb or tuberous vegetables",2.03.04 Onions (incl. shallots),
2 Vegetables and melons,"2.03 Root, bulb or tuberous vegetables",2.03.05 Leeks and other alliaceous vegetables,
2 Vegetables and melons,"2.03 Root, bulb or tuberous vegetables","2.03.90 Other root, bulb, or tuberous vegetables, n.e.c.",
2 Vegetables and melons,2.04 Mushrooms and truffles,,
2 Vegetables and melons,2.05 Melons,2.05.01 Watermelons,
2 Vegetables and melons,2.05 Melons,2.05.02 Cantaloupes and other melons,
2 Vegetables and melons,"2.90 Other vegetables, n.e.c.",,
3 Fruits and nuts,3.01 Tropical and subtropical fruits,3.01.01 Avocados,
3 Fruits and nuts,3.01 Tropical and subtropical fruits,3.01.02 Bananas,
3 Fruits and nuts,3.01 Tropical and subtropical fruits,3.01.03 Plantains,
3 Fruits and nuts,3.01 Tropical and subtropical fruits,3.01.04 Dates,
3 Fruits and nuts,3.01 Tropical and subtropical fruits,3.01.05 Figs,
3 Fruits and nuts,3.01 Tropical and subtropical fruits,"3.01.06 Mangoes, guavas and mangosteens",
3 Fruits and nuts,3.01 Tropical and subtropical fruits,3.01.07 Papayas,
3 Fruits and nuts,3.01 Tropical and subtropical fruits,3.01.08 Pineapples,
3 Fruits and nuts,3.01 Tropical and subtropical fruits,"3.01.90 Other tropical and subtropical fruits, n.e.c.",
3 Fruits and nuts,3.02 Citrus fruits,3.02.01 Grapefruit and pomelo,
3 Fruits and nuts,3.02 Citrus fruits,3.02.02 Lemons and limes,
3 Fruits and nuts,3.02 Citrus fruits,3.02.03 Oranges,
3 Fruits and nuts,3.02 Citrus fruits,"3.02.04 Tangerines mandarins, clementines",
3 Fruits and nuts,3.02 Citrus fruits,"3.02.90 Other citrus fruits, n.e.c.",
3 Fruits and nuts,3.03 Grapes,,
3 Fruits and nuts,3.04 Berries,3.04.01 Currants,
3 Fruits and nuts,3.04 Berries,3.04.02 Gooseberries,
3 Fruits and nuts,3.04 Berries,3.04.03 Kiwi fruit,
3 Fruits and nuts,3.04 Berries,3.04.04 Raspberries,
3 Fruits and nuts,3.04 Berries,3.04.05 Strawberries,
3 Fruits and nuts,3.04 Berries,3.04.06 Blueberries,
3 Fruits and nuts,3.04 Berries,3.04.07 Cranberries,
3 Fruits and nuts,3.04 Berries,"3.04.90 Other berries, n.e.c",
3 Fruits and nuts,3.05 Pome fruits and stone fruits,3.05.01 Apples,
3 Fruits and nuts,3.05 Pome fruits and stone fruits,3.05.02 Apricots,
3 Fruits and nuts,3.05 Pome fruits and stone fruits,3.05.03 Cherries and sour cherries,
3 Fruits and nuts,3.05 Pome fruits and stone fruits,3.05.04 Peaches and nectarines,
3 Fruits and nuts,3.05 Pome fruits and stone fruits,3.05.05 Pears and quinces,
3 Fruits and nuts,3.05 Pome fruits and stone fruits,3.05.06 Plums and sloes,
3 Fruits and nuts,3.05 Pome fruits and stone fruits,"3.05.90 Other pome fruits and stone fruits, n.e.c.",
3 Fruits and nuts,3.06 Nuts,3.06.01 Almonds,
3 Fruits and nuts,3.06 Nuts,3.06.02 Cashew nuts,
3 Fruits and nuts,3.06 Nuts,3.06.03 Chestnuts,
3 Fruits and nuts,3.06 Nuts,3.06.04 Hazelnuts,
3 Fruits and nuts,3.06 Nuts,3.06.05 Pistachios,
3 Fruits and nuts,3.06 Nuts,3.06.06 Walnuts,
3 Fruits and nuts,3.06 Nuts,3.06.07 Brazil nuts,
3 Fruits and nuts,3.06 Nuts,3.06.08 Areca nuts,
3 Fruits and nuts,3.06 Nuts,3.06.09 Cola nuts,
3 Fruits and nuts,3.06 Nuts,"3.06.90 Other nuts, n.e.c. (not incl. 4.02 Groundnuts)",
3 Fruits and nuts,"3.90 Other fruits, n.e.c.",,
4 Oilseed crops and oleaginous fruits,4.01 Soya beans,,
4 Oilseed crops and oleaginous fruits,4.02 Groundnuts,,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.01 Castor bean,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.02 Linseed,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.03 Mustard,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.04 Niger seed,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.05 Rapeseed,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.06 Safflower,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.07 Sesame,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.08 Sunflower,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.09 Shea tree (shea butter or karite nuts),
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.10 Tung tree,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.11 Jojoba,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.12 Poppy,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,4.03.13 Tallow tree,
4 Oilseed crops and oleaginous fruits,4.03 Other temporary oilseed crops,"4.03.90 Other temporary oilseed crops, n.e.c.",
4 Oilseed crops and oleaginous fruits,4.04 Permanent oilseed crops,4.04.01 Coconuts,
4 Oilseed crops and oleaginous fruits,4.04 Permanent oilseed crops,4.04.02 Olives,
4 Oilseed crops and oleaginous fruits,4.04 Permanent oilseed crops,4.04.03 Oil palms,
