Level1,Level2,Level3,Level4,Level5,Level6,Level7,
1 Land/water protection,1.1 Site/area protection,,,,,,
1 Land/water protection,1.2 Resource & habitat protection,,,,,,
2 Land/water management,2.1 Site/area management,,,,,,
2 Land/water management,2.2 Invasive/problematic species control,Biological control,"Biological control agents (also see ""habitat management"")",Release biological control agents,,,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Antibiotics (used on livestock or micro-livestock),Use antibiotics (vs no antibiotics),,,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Antibiotics (used on livestock or micro-livestock),Use less antibiotics,,,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Antibiotics (used on livestock or micro-livestock),Use alternative antibiotics (vs conventional),,,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Fungicide,Use fungicide (vs no fungicide),,,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Fungicide,Use less fungicide,,,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Fungicide,Use alternative fungicide (vs conventional),,,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Pesticide (used against insects and other invertebrates),Use less pesticide,,,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Pesticide (used against insects and other invertebrates),Use pesticide (vs no pesticide),Use organic pesticide (vs no pesticide),,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Pesticide (used against insects and other invertebrates),Use pesticide (vs no pesticide),Use inorganic pesticide (vs no pesticide),,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Pesticide (used against insects and other invertebrates),Use alternative pesticide (vs conventional),Use biopesticide (vs conventional),,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Pesticide (used against insects and other invertebrates),Use alternative pesticide (vs conventional),Use organic pesticide (vs inorganic pesticide),,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Herbicide,Use herbicide (vs no herbicide),Post-emergence herbicide,,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Herbicide,Use herbicide (vs no herbicide),Pre-emergence herbicide,,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Herbicide,Use alternative herbicide (vs conventional),,,
2 Land/water management,2.2 Invasive/problematic species control,Chemical control,Herbicide,Use less herbicide,,,
