Code1,Level1,Code2,Level2,Code3,Level3,Code4,Level4,Code5,Level5,Level6,Level7
10,Invasive species management,10,Invasion prevention,10,Surveillance,TC,Monitoring species/vectors/pathways (vs control),NEC,"Monitoring species/vectors/pathways (vs control), n.e.c.",,
10,Invasive species management,10,Invasion prevention,10,Surveillance,TT,Monitoring species/vectors/pathways using a different method/tool,NEC,"Monitoring species/vectors/pathways using a different method/tool, n.e.c.",,
10,Invasive species management,10,Invasion prevention,20,Border control (preventing high-risk species/vectors from crossing the border),TC,Customs inspections (vs control),NEC,"Customs inspections (vs control), n.e.c.",,
10,Invasive species management,10,Invasion prevention,20,Border control (preventing high-risk species/vectors from crossing the border),TT,Customs inspections using a different method/tool,NEC,"Customs inspections using a different method/tool, n.e.c.",,
10,Invasive species management,10,Invasion prevention,30,Quarantine,TC,Quarantining (vs control),NEC,"Quarantining (vs control), n.e.c.",,
10,Invasive species management,10,Invasion prevention,30,Quarantine,TT,Quarantining using a different method/tool,NEC,"Quarantining using a different method/tool, n.e.c.",,
10,Invasive species management,20,Invasive plant management,10,Biological control of invasive plants,TC,Biological control of invasive plants (vs no biological control),10,Introducing biological control agents for invasive plants,,
10,Invasive species management,20,Invasive plant management,10,Biological control of invasive plants,TC,Biological control of invasive plants (vs no biological control),NEC,"Biological control of invasive plants (vs no biological control), n.e.c.",,
10,Invasive species management,20,Invasive plant management,10,Biological control of invasive plants,TT,Using a different method/tool/species for biological control of invasive plants,NEC,"Using a different method/tool/species for biological control of invasive plants, n.e.c.",,
10,Invasive species management,20,Invasive plant management,20,Chemical control of invasive plants,TC,Chemical control of invasive plants (vs no chemical control),10,Using a herbicide or mixture of herbicides,,
10,Invasive species management,20,Invasive plant management,20,Chemical control of invasive plants,TC,Chemical control of invasive plants (vs no chemical control),NEC,"Chemical control of invasive plants (vs no chemical control), n.e.c.",,
10,Invasive species management,20,Invasive plant management,20,Chemical control of invasive plants,TT,Using a different method/tool/chemical for chemical control of invasive plants,10,Using a different amount of herbicide,,
10,Invasive species management,20,Invasive plant management,20,Chemical control of invasive plants,TT,Using a different method/tool/chemical for chemical control of invasive plants,20,Using a different method of applying herbicide,,
10,Invasive species management,20,Invasive plant management,20,Chemical control of invasive plants,TT,Using a different method/tool/chemical for chemical control of invasive plants,30,Using a different type of herbicide or mixture of herbicides,,
10,Invasive species management,20,Invasive plant management,20,Chemical control of invasive plants,TT,Using a different method/tool/chemical for chemical control of invasive plants,NEC,"Using a different method/tool/chemical for chemical control of invasive plants, n.e.c.",,
10,Invasive species management,20,Invasive plant management,30,Physical/mechanical control of invasive plants,TC,Physical/mechanical control of invasive plants (vs no physical/mechanical control),10,"Uprooting invasive plants (also see ""plowing"" for habitat-wide interventions)",,
10,Invasive species management,20,Invasive plant management,30,Physical/mechanical control of invasive plants,TC,Physical/mechanical control of invasive plants (vs no physical/mechanical control),20,"Cutting/chopping invasive plants (also see ""mowing"" for habitat-wide interventions)",,
10,Invasive species management,20,Invasive plant management,30,Physical/mechanical control of invasive plants,TC,Physical/mechanical control of invasive plants (vs no physical/mechanical control),30,"Burning invasive plants (also see ""burning"" in ""habitat management"" for habitat-wide interventions)",,
10,Invasive species management,20,Invasive plant management,30,Physical/mechanical control of invasive plants,TC,Physical/mechanical control of invasive plants (vs no physical/mechanical control),NEC,"Physical/mechanical control of invasive plants (vs no physical/mechanical control), n.e.c.",,
