Code1,Level1,Code2,Level2,Code3,Level3,Code4,Level4,Code5,Level5,Code6,Level6,Code7,Level7
10,Crops,10,Crop yield,10,Crop yield,,Edible/marketable crop yield,,,,,,
10,Crops,10,Crop yield,10,Crop yield,,"Total crop yield (i.e. biomass, including straw)",,,,,,
10,Crops,10,Crop yield,NES,Crop yield n.e.s.,,,,,,,,
10,Crops,20,Crop quality,10,Crop size and shape,,,,,,,,
10,Crops,20,Crop quality,20,Crop taste (including acidity),,,,,,,,
10,Crops,20,Crop quality,30,Dry matter content,,,,,,,,
10,Crops,20,Crop quality,40,Nutrients in crops,,Macronutrients,,Fat content,,,,
10,Crops,20,Crop quality,40,Nutrients in crops,,Macronutrients,,Protein content,,,,
10,Crops,20,Crop quality,40,Nutrients in crops,,Macronutrients,,Starch content,,,,
10,Crops,20,Crop quality,40,Nutrients in crops,,Macronutrients,,Sugar content,,,,
10,Crops,20,Crop quality,40,Nutrients in crops,,Micronutrients,,,,,,
10,Crops,20,Crop quality,50,"Toxins in crops (e.g., herbicide/pesticide residues)",,,,,,,,
10,Crops,20,Crop quality,NES,Crop quality n.e.s.,,,,,,,,
20,Soil,10,Soil structure and function,10,Soil organic matter (SOM),,Soil organic carbon (SOC),,,,,,
20,Soil,10,Soil structure and function,10,Soil aggregation and erosion,,Soil macroaggregates,,,,,,
20,Soil,10,Soil structure and function,10,Soil aggregation and erosion,,Soil microaggregates,,,,,,
20,Soil,10,Soil structure and function,10,Soil aggregation and erosion,,Soil erosion,,,,,,
20,Soil,10,Soil structure and function,20,"Soil compaction, porosity, and water content",,Soil compaction,,Soil porosity/infiltration rates,,,,
20,Soil,10,Soil structure and function,20,"Soil compaction, porosity, and water content",,Soil water content,,,,,,
20,Soil,10,Soil structure and function,30,Soil chemistry,,Cation exchange capacity (CEC),,,,,,
20,Soil,10,Soil structure and function,30,Soil chemistry,,Soil pH,,,,,,
20,Soil,10,Soil structure and function,30,Soil chemistry,,Soil salinity,,,,,,
20,Soil,10,Soil structure and function,40,Soil nutrients,,Soil macronutrients,,Soil nitrogen (N),,,,
20,Soil,10,Soil structure and function,40,Soil nutrients,,Soil macronutrients,,Soil phosphorus (P),,,,
20,Soil,10,Soil structure and function,40,Soil nutrients,,Soil macronutrients,,Soil potassium (K),,,,
20,Soil,10,Soil structure and function,40,Soil nutrients,,Soil micronutrients,,,,,,
20,Soil,10,Soil structure and function,NES,Soil structure and function n.e.s.,,,,,,,,
20,Soil,20,Soil organisms,10,Soil microbes (including bacteria and fungi; not including pathogens) n.e.s.,,Soil enzymes,,,,,,
20,Soil,20,Soil organisms,10,Soil microbes (including bacteria and fungi; not including pathogens) n.e.s.,,Soil microbial biomass,,,,,,
20,Soil,20,Soil organisms,20,Earthworms,,,,,,,,
20,Soil,20,Soil organisms,30,Nematodes (not including pests),,,,,,,,
20,Soil,20,Soil organisms,NES,Soil organisms n.e.s.,,,,,,,,
30,Water,10,Water use/loss,10,Irrigation,,,,,,,,
30,Water,10,Water use/loss,20,Evapotranspiration,,,,,,,,
30,Water,10,Water use/loss,30,Runoff,,,,,,,,
30,Water,10,Water use/loss,40,Drainage,,,,,,,,
30,Water,10,Water use/loss,NES,Water use/loss n.e.s.,,,,,,,,
40,"Pathogens, pests, and weeds",10,Pathogens,10,Pathogens (bacteria),,,,,,,,
40,"Pathogens, pests, and weeds",10,Pathogens,20,Pathogens (fungi),,,,,,,,
40,"Pathogens, pests, and weeds",10,Pathogens,30,Pathogens (viruses),,,,,,,,
40,"Pathogens, pests, and weeds",10,Pathogens,NES,Pathogens n.e.s.,,,,,,,,
40,"Pathogens, pests, and weeds",20,Pests,10,Pests (invertebrates),,,,,,,,
40,"Pathogens, pests, and weeds",20,Pests,20,Pests (vertebrates),,,,,,,,
40,"Pathogens, pests, and weeds",20,Pests,NES,Pests n.e.s.,,,,,,,,
40,"Pathogens, pests, and weeds",30,Weeds,NES,Weeds n.e.s.,,,,,,,,
50,Pollutants,10,Greenhouse gases,10,Carbon dioxide,,,,,,,,
50,Pollutants,10,Greenhouse gases,20,Methane,,,,,,,,
50,Pollutants,10,Greenhouse gases,30,Nitrous oxide,,,,,,,,
50,Pollutants,10,Air pollution,20,Particulate matter (including dust),,,,,,,,
50,Pollutants,10,Air pollution,NES,Air pollution n.e.s.,,,,,,,,
50,Pollutants,20,Soil pollution,10,"Biocides in soils (e.g., herbicides/pesticides)",,,,,,,,
50,Pollutants,20,Soil pollution,20,Heavy metals in soils,,,,,,,,
50,Pollutants,20,Soil pollution,NES,Soil pollution n.e.s.,,,,,,,,
50,Pollutants,30,Water pollution,10,Anoxia and eutrophication,,,,,,,,
50,Pollutants,30,Water pollution,20,"Biocides in water (e.g., herbicides/pesticides)",,,,,,,,
50,Pollutants,30,Water pollution,30,Nitrates in water,,,,,,,,
50,Pollutants,30,Water pollution,40,Sediments in water,,,,,,,,
50,Pollutants,30,Water pollution,NES,Water pollution n.e.s.,,,,,,,,
60,Chemicals and energy,10,Agrochemicals,10,"Biocides (e.g., herbicides/pesticides)",,,,,,,,
60,Chemicals and energy,10,Agrochemicals,20,Fertilizers and other soil amendments,,,,,,,,
60,Chemicals and energy,10,Agrochemicals,NES,Agrochemicals n.e.s.,,,,,,,,
60,Chemicals and energy,20,Energy,10,Electricity,,,,,,,,
60,Chemicals and energy,20,Energy,20,"Fuel (e.g., tractor fuel)",,,,,,,,
60,Chemicals and energy,20,Energy,NES,Energy n.e.s.,,,,,,,,
70,"Money, labor, and time",10,Money,NES,Money n.e.s.,,,,,,,,
70,"Money, labor, and time",20,Labor,10,Animal labor,,,,,,,,
70,"Money, labor, and time",20,Labor,20,Human labor,,,,,,,,
70,"Money, labor, and time",20,Labor,NES,Labor n.e.s.,,,,,,,,
70,"Money, labor, and time",30,Time,NES,Time n.e.s.,,,,,,,,
80,Land,10,Agricultural land,10,"Agricultural land use (e.g., land equivalency ratio [LER])",,,,,,,,
80,Land,10,Agricultural land,NES,Agricultural land n.e.s.,,,,,,,,
80,Land,20,Semi-natural land,10,"Semi-natural land use (e.g., area conserved)",,,,,,,,
80,Land,20,Semi-natural land,NES,Semi-natural land n.e.s.,,,,,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),10,Amphibians,,Amphibian abundance,,Abundance of amphibians as natural enemies of crop pests,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),10,Amphibians,,Amphibian diversity,,Diversity of amphibians as natural enemies of crop pests,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),20,Birds,,Bird abundance,,Abundance of birds as crop pollinators,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),20,Birds,,Bird abundance,,Abundance of birds as natural enemies of crop pests,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),20,Birds,,Bird diversity,,Diversity of birds as crop pollinators,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),20,Birds,,Bird diversity,,Diversity of birds as natural enemies of crop pests,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),30,Invertebrates (including insects and other arthropods),,Invertebrate abundance,,Abundance of invertebrates as crop pollinators,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),30,Invertebrates (including insects and other arthropods),,Invertebrate abundance,,Abundance of invertebrates as natural enemies of crop pests,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),30,Invertebrates (including insects and other arthropods),,Invertebrate diversity,,Diversity of invertebrates as crop pollinators,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),30,Invertebrates (including insects and other arthropods),,Invertebrate diversity,,Diversity of invertebrates as natural enemies of crop pests,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),40,Mammals,,Mammal abundance,,Abundance of mammals as crop pollinators,,,,
90,Biodiversity n.e.s.,10,Animals (not including livestock),40,Mammals,,Mammal abundance,,Abundance of mammals as natural enemies of crop pests,,,,
